id,title,category,description
1,Transformer Architecture,Deep Learning,"The Transformer is a neural network architecture introduced in the 2017 paper Attention Is All You Need by Vaswani et al. Unlike recurrent networks Transformers process entire sequences simultaneously using self-attention mechanisms enabling parallelization during training. The architecture consists of an encoder and decoder each built from stacked layers containing multi-head attention and feed-forward networks. This design allows the model to capture long-range dependencies in data efficiently. Transformers have become the foundation for modern large language models like GPT BERT and T5 revolutionizing natural language processing and other domains including computer vision and speech recognition."
2,Attention Mechanism,Deep Learning,"The attention mechanism allows neural networks to focus on relevant parts of the input when producing each element of the output rather than compressing all information into a fixed vector. Originally proposed for machine translation attention computes a weighted sum of input representations where weights called attention scores are learned based on query-key similarity. In self-attention each position in a sequence attends to all other positions to capture contextual relationships. Multi-head attention runs multiple attention operations in parallel allowing the model to jointly attend to information from different representation subspaces. This mechanism is the core innovation enabling Transformers to outperform RNNs on sequence tasks."
3,BERT,NLP,"BERT stands for Bidirectional Encoder Representations from Transformers and is a pre-trained language model developed by Google in 2018. Unlike previous models that read text left-to-right or right-to-left BERT reads text bidirectionally capturing context from both directions simultaneously. It is trained using two objectives: Masked Language Modeling predicting randomly masked words and Next Sentence Prediction determining if two sentences are consecutive. This pre-training on large text corpora allows BERT to learn rich language representations that can be fine-tuned for downstream tasks like question answering named entity recognition and sentiment analysis. BERT significantly advanced the state of the art in NLP benchmarks upon its release."
4,GPT Generative Pre-trained Transformer,NLP,"GPT is a family of autoregressive language models developed by OpenAI trained using unsupervised learning on large text datasets. Unlike BERTs bidirectional training GPT uses a unidirectional left-to-right decoder-only Transformer architecture. The model is pre-trained to predict the next token in a sequence and can be fine-tuned or prompted for various tasks. GPT-3 demonstrated remarkable few-shot learning capabilities performing well on tasks with only a few examples in the prompt. GPT-4 further improved reasoning instruction following and multimodal capabilities. The GPT family popularized the concept of large language models as general-purpose AI systems accessible via natural language instructions."
5,Reinforcement Learning from Human Feedback,Alignment,"RLHF is a training technique that combines reinforcement learning with human preference data to align language models with human values and intentions. The process involves three phases: supervised fine-tuning on demonstration data training a reward model from human comparisons of model outputs and optimizing the language model using proximal policy optimization against this reward signal. RLHF has been instrumental in training models like ChatGPT and Claude to be helpful harmless and honest. A key challenge is reward hacking where models exploit weaknesses in the reward model. Variants like Direct Preference Optimization aim to simplify the process while maintaining alignment quality."
6,Retrieval-Augmented Generation,LLM Applications,"RAG is a technique that enhances language model responses by retrieving relevant documents from an external knowledge base before generating an answer. The retrieval component uses dense vector search or hybrid approaches to find contextually relevant passages which are then provided to the LLM as additional context. RAG addresses key limitations of parametric knowledge in LLMs: it enables access to up-to-date information reduces hallucination improves factual accuracy and provides source attribution. Typical RAG systems involve a document ingestion pipeline covering chunking embedding and indexing a retrieval step using semantic similarity and a generation step where the model synthesizes retrieved context with the query."
7,Fine-tuning,Training Methods,"Fine-tuning is the process of continuing the training of a pre-trained model on a smaller task-specific dataset to adapt it for a particular application. Rather than training from scratch fine-tuning leverages representations learned during pre-training requiring less data and compute. Techniques include full fine-tuning updating all parameters and parameter-efficient fine-tuning methods like LoRA Low-Rank Adaptation and adapters updating only a small subset of parameters. Instruction tuning trains on instruction-response pairs to improve instruction following. Fine-tuning enables organizations to customize foundation models for specific domains like medical legal or code generation while maintaining general capabilities acquired during pre-training."
8,Zero-shot Learning,Learning Paradigms,"Zero-shot learning refers to a models ability to perform tasks or recognize categories it has never explicitly been trained on. In NLP zero-shot prompting describes giving an LLM instructions without any examples relying solely on the models pre-trained knowledge. Large language models exhibit impressive zero-shot capabilities because their pre-training exposes them to diverse tasks implicitly. In computer vision zero-shot classification models like CLIP can categorize images into classes not seen during training by leveraging semantic similarity between image and text embeddings. Zero-shot learning is important for real-world applications where collecting labeled examples for every possible task is impractical."
9,Few-shot Learning,Learning Paradigms,"Few-shot learning is the ability of a model to generalize from a small number of examples per class or task. In large language models few-shot prompting involves providing a handful of input-output examples directly in the prompt allowing the model to infer the pattern and apply it to new inputs without parameter updates. GPT-3 demonstrated that with sufficient scale LLMs can perform competitive few-shot learning purely through in-context examples. In traditional machine learning few-shot learning includes techniques like Siamese networks prototypical networks and model-agnostic meta-learning MAML that train models to quickly adapt from limited data."
10,Vector Embeddings,Representations,"Embeddings are dense fixed-dimensional vector representations of data such as text images and audio that capture semantic meaning in continuous space. Similar concepts map to nearby vectors enabling mathematical operations on meaning. Text embeddings are generated by neural networks trained to capture semantic relationships with OpenAI embedding models and Sentence Transformers being common examples. Embeddings power semantic search recommendation systems and RAG pipelines. The quality of embeddings is measured by how well cosine similarity or dot product reflects real-world semantic relatedness. Techniques like dimensionality reduction using PCA or UMAP are used to visualize high-dimensional embedding spaces."
11,Vector Databases,Infrastructure,"Vector databases are specialized data stores optimized for storing indexing and querying high-dimensional vector embeddings at scale. Unlike traditional databases that search by exact match vector databases perform approximate nearest neighbor search finding the most semantically similar vectors efficiently. Popular vector databases include Pinecone Weaviate Qdrant Milvus and ChromaDB. They use indexing algorithms like HNSW Hierarchical Navigable Small World and IVF Inverted File Index to enable fast similarity search across millions of vectors. Vector databases are essential infrastructure for RAG systems semantic search engines recommendation systems and any application requiring semantic similarity at scale."
